target,발음1,발음2,발음3,발음4,발음5,발음6,발음7,발음8,발음9,발음10,발음11,발음12,발음13,발음14,발음15,발음16,발음17,발음18,발음19,발음20,발음21,발음22,발음23,발음24,발음25,발음26,발음27,발음28,발음29,발음30,발음31,발음32,발음33,발음34,발음35,발음36,발음37,발음38,발음39,발음40,발음41,발음42,발음43,발음44,발음45,발음46,발음47,발음48,발음49,발음50,발음51,발음52,발음53,발음54,발음55,발음56,발음57,발음58,발음59,발음60,발음61,발음62,발음63,발음64,발음65,발음66,발음67,발음68,발음69,발음70,발음71,발음72,발음73,발음74,발음75,발음76,발음77,발음78,발음79,발음80,length,initial
arm,암,압,캄,깜,함,암,알,앞,안,감,암,캄,캄,깜,압,캄,캄,알,감,알,깜,압,캄,캄,캄,압,캄,캄,압,암,감,감,캄,캄,캄,캄,캄,깜,캄,깜,캄,감,캄,앞,안,압,압,앞,캄,암,압,암,캄,압,안,감,캄,압,캄,알,캄,압,압,캄,압,감,압,알,깜,감,캄,깜,캄,캄,앞,캄,압,앞,캄,압,1,ㅇ
associate,어소시얻,어소수얻,어소시얼,어소새껃,어쏘시얻,어소시읃,어소시얻,어소시언,어소쉬얻,어소치얻,꺼소세얻,어소세앧,애수시얻,어소스얻,어소시엍,어소시업,어수시얻,어소시앧,어소찌얻,어소시껃,어또시얻,어소새얻,어조시얻,어세시헏,어소시엇,꺼소시엇,어소시언,어소시얻,어소스얻,어쏘시얻,애수시얻,어조시얻,어쏘시얻,애수시얻,어소시얻,어수시얻,꺼소시엇,어소시언,어소시엇,꺼소세얻,어소시읃,어소새껃,어수시얻,애수시얻,어소시얻,어수시얻,어소시껃,어소시얻,어수시얻,어쏘시얻,어소시얼,어조시얻,어조시얻,어소스얻,어소시얼,어소시껃,어소찌얻,어소시읃,어소시엍,어소시얻,어소찌얻,어조시얻,애수시얻,어쏘시얻,애수시얻,어소시엍,어소시껃,어쏘시얻,어소시엍,어수시얻,어소시엍,어소시얻,어소시얻,어소시껃,어소시얼,어세시헏,어소시껃,어소시껃,어소시앧,어쏘시얻,4,ㅇ
available,어베일러벌,어뵈앨러벌,어베일러범,어베인러벌,어뵈일러벌,으베일러뻘,꺼베일러벌,애보일러벌,어배일러벌,애비일러벌,어베임러벌,애베일러벌,어뻬일러벌,어베킬러벌,어베일러벌,어베일러블,어베일러펄,으뵈일러벌,어베일너벌,어베킬러블,허베일러벌,커베일러덜,어베일러멀,어데일러벌,어베일래벌,으뵈일러벌,어베킬러블,으베일러뻘,어데일러벌,어뵈앨러벌,으뵈일러벌,어베인러벌,어베킬러벌,으베일러뻘,어데일러벌,어데일러벌,커베일러덜,어배일러벌,애베일러벌,허베일러벌,어베일너벌,어베킬러블,꺼베일러벌,어베일너벌,으뵈일러벌,어베인러벌,어베일래벌,으뵈일러벌,어베인러벌,어베인러벌,으베일러뻘,커베일러덜,어데일러벌,으뵈일러벌,어베킬러블,애베일러벌,으뵈일러벌,어뵈앨러벌,어베일래벌,어베일너벌,어베킬러블,으뵈일러벌,어베일너벌,어베일래벌,어배일러벌,으뵈일러벌,어베킬러벌,어데일러벌,어베일너벌,어베킬러벌,으베일러뻘,애비일러벌,어데일러벌,으베일러뻘,으베일러뻘,으뵈일러벌,어뻬일러벌,어베인러벌,애비일러벌,어베일너벌,5,ㅇ
axp,에이엑스피,에애엑스키,에이액즈피,에이엑스패,에이왹스피,에키엑스피,에이엑수피,에이헥스피,외이엑스푸,에이엑스피,에이옥스피,에이엥스피,에이엑쓰피,에이엥서피,에에엑스피,에이엑스키,에이액스피,에이엫스퓌,이이엑스피,외이엑스피,에이엑스퓌,에이엑스히,이키엑스피,에이엫스피,에이엑스비,에에엑스피,외이엑스피,에이헥스피,외이엑스피,에이옥스피,에이액즈피,에에엑스피,에에엑스피,에이옥스피,에이엥서피,에이엑스비,에이엑쓰피,에에엑스피,이이엑스피,에이엫스퓌,이키엑스피,이키엑스피,이키엑스피,에이엑쓰피,외이엑스피,에이액스피,에이엑스패,에에엑스피,이키엑스피,에이엑스히,외이엑스피,에에엑스피,에이엑스피,에이엑스피,에이액즈피,에이엑쓰피,에이액스피,에이엑스퓌,에에엑스피,외이엑스푸,에이액즈피,에애엑스키,에이엑쓰피,에이엑스퓌,에이엑스패,에이엥서피,에이엫스퓌,에이옥스피,에이액스피,에이엥스피,에이액즈피,에이액즈피,에이엑스퓌,외이엑스피,에이액즈피,에이엑스패,에이엥스피,에이엥서피,이키엑스피,에에엑스피,5,ㅇ
base,베이스,베이수,베으스,베기스,베이트,비이뜨,베이서,뵈기스,베끼스,베우스,베위스,베애스,배애스,페이스,베우쉬,데에스,베이스,데이스,배으스,베히스,배이쉬,베이드,베이쉬,베히스,베애스,베으스,베이수,비이뜨,베히스,베끼스,베히스,베이수,베위스,데이스,베애스,베이드,베이서,베애스,배으스,베애스,배이쉬,데에스,베이스,베히스,비이뜨,비이뜨,배으스,베애스,베이수,베이수,데에스,베애스,배으스,배으스,데에스,베이서,베이스,데이스,베애스,베기스,데에스,베애스,데이스,배으스,베히스,비이뜨,배으스,베위스,베애스,비이뜨,베이수,베이스,비이뜨,베이스,베이수,비이뜨,베위스,베애스,데에스,비이뜨,3,ㅂ
batch,배치,배씨,대츠,베치,패치,비치,배찌,패츠,버취,배시,배취,배체,배치,버치,대치,배찌,배치,배체,배취,베치,대치,비치,베치,비치,배취,패치,베치,베치,베치,베치,패츠,배찌,대치,대치,베치,비치,베치,버치,배취,베치,대치,배찌,배찌,대치,베치,베치,비치,대치,배시,비치,배찌,베치,대치,베치,배찌,배찌,배시,버치,배찌,패치,베치,비치,배찌,배찌,비치,베치,베치,배찌,배취,배시,비치,베치,배취,배씨,배찌,비치,버치,베치,배치,배찌,2,ㅂ
behavior,비헤이비어,비헤이뷔어,디헤이비어,비호이비어,비헤이비애,미헤이브어,비히이비어,부헤이비어,비회이비허,부헤이베어,비헤이브어,비헤키비어,비회이비어,브회이비어,비헤이비거,베헤이비어,비헤으비어,비헤이비어,비해이비어,비헤이비으,뷔헤이비어,미헤이브어,비헤이비거,부헤이베어,부헤이비어,미헤이브어,비호이비어,비헤이비으,베헤이비어,브회이비어,베헤이비어,비회이비어,부헤이비어,부헤이비어,비회이비어,부헤이비어,비회이비어,뷔헤이비어,부헤이베어,비헤이비거,비헤이비어,비헤이비거,미헤이브어,비호이비어,비회이비어,비호이비어,베헤이비어,부헤이비어,비헤이비으,비헤이비어,비헤이비거,비호이비어,베헤이비어,베헤이비어,비헤이브어,비헤이비으,비헤이뷔어,비헤이비으,비헤이비으,뷔헤이비어,비헤키비어,비헤키비어,비헤이비거,부헤이베어,부헤이비어,비헤이비으,베헤이비어,비헤이비어,비헤키비어,베헤이비어,부헤이베어,베헤이비어,비헤이비으,비헤이비거,브회이비어,미헤이브어,브회이비어,비헤으비어,비헤이뷔어,비호이비어,5,ㅂ
best fit,베스트 핃,배스트 핃,베스트 핃,베스쓰 핃,베스트 핀,베서트 핃,베서티 핃,뵈스트 핃,베수트 푿,베스트 빋,베스터 핍,베스드 핃,베즈트 핃,베스트 픋,베스트 핍,비스트 핃,베쓰트 핐,페스트 핃,보서트 핃,베스크 힏,베트트 핃,베스츠 핃,베스트 핏,베스트 힏,베스트 핏,베스크 힏,베스쓰 핃,베서티 핃,뵈스트 핃,베쓰트 핐,뵈스트 핃,배스트 핃,베쓰트 핐,베스트 핏,뵈스트 핃,베스트 핃,베스트 핏,베서티 핃,베스츠 핃,베스트 핍,베서티 핃,베서티 핃,베스쓰 핃,베서티 핃,베스크 힏,베서티 핃,뵈스트 핃,베서티 핃,보서트 핃,배스트 핃,베서티 핃,베쓰트 핐,베스츠 핃,베서티 핃,베서티 핃,베서티 핃,베서티 핃,배스트 핃,배스트 핃,베스쓰 핃,뵈스트 핃,베스트 핃,베서티 핃,베서티 핃,베스쓰 핃,베스트 힏,베스트 핏,베서티 핃,배스트 핃,보서트 핃,뵈스트 핃,뵈스트 핃,베쓰트 핐,베스크 힏,뵈스트 핃,베스크 힏,베서티 핃,베스쓰 핃,보서트 핃,베서티 핃,5,ㅂ
big,비그,디거,비기,미그,디기,비흐,디그,뷔거,베으,디으,삐그,비귀,비끄,비그,배그,비으,베그,비끄,비그,베그,디으,비끄,비그,비귀,비흐,비끄,비그,비그,비흐,비흐,비그,베그,디으,비흐,미그,미그,비그,디으,비귀,비그,비끄,미그,비흐,비그,비끄,베그,비끄,비그,비끄,비끄,베그,비기,미그,비흐,베그,베으,디으,비흐,미그,디거,미그,비흐,비귀,비끄,비흐,뷔거,미그,비끄,비귀,비흐,삐그,비흐,비으,미그,비흐,비흐,디으,비그,베그,베그,2,ㅂ
binding,바인딩,바인딕,바은딩,다인팅,다인딖,바인딩,파긴딩,파인딩,바인팅,바앤딩,바은딬,바인빙,바킨딩,바힌댕,바엔딩,바인링,바인댕,바인등,바인띵,바낀딩,바인뎅,빠인딩,다인딩,바인팅,바인띵,다인팅,바인딕,바인딕,바은딬,파인딩,바은딩,다인팅,바앤딩,바인등,바인뎅,바앤딩,바인뎅,바인딕,다인팅,바앤딩,바인딕,다인팅,바인띵,바인뎅,바은딬,바인팅,파인딩,바은딬,다인딖,다인팅,바인딕,다인팅,바인뎅,바인딕,바인댕,다인팅,바인등,바인뎅,바인띵,바인팅,바힌댕,파인딩,바인딕,바힌댕,다인팅,바인뎅,바인뎅,바힌댕,바인등,파긴딩,바인등,바인등,바인등,바인딕,바은딬,다인팅,바앤딩,바인뎅,바인댕,바앤딩,3,ㅂ
bit,빋,밷,딛,붇,빗,삗,빋,핃,빌,빕,빘,벧,밷,벧,붇,붇,빗,붇,빘,핃,빕,딛,붇,빘,빋,붇,벧,붇,밷,벧,딛,딛,빗,빗,빌,붇,밷,벧,붇,빘,벧,붇,빘,딛,붇,빘,벧,붇,빗,핃,밷,빘,빕,밷,밷,붇,빗,핃,빗,핃,핃,빗,붇,붇,붇,핃,밷,핃,빘,밷,빌,빌,밷,빗,붇,빗,붇,빗,벧,빘,1,ㅂ
block,블라크,들라퀴,들라크,블라키,븐라프,블라커,플라트,벌라커,븜라크,벌라크,플라크,믈라크,빌라쿠,블라크,뷜라크,븐라프,블라키,믈라크,들라크,블라커,븐라프,븐라프,벌라크,뷜라크,븐라프,플라크,븐라프,플라크,플라크,븐라프,들라크,벌라크,들라크,플라크,븐라프,들라퀴,믈라크,플라크,뷜라크,뷜라크,븐라프,븐라프,벌라크,븐라프,븐라프,븐라프,벌라크,플라트,들라크,믈라크,블라커,들라크,뷜라크,븐라프,븐라프,블라커,믈라크,블라커,플라크,벌라크,플라트,믈라크,믈라크,븐라프,벌라크,들라크,블라키,들라크,들라크,블라키,븐라프,들라크,블라커,블라커,븐라프,벌라크,뷜라크,플라크,븐라프,플라트,3,ㅂ
break,브레이크,버뢰이크,브레이크,버레이그,비레이크,브레위크,브레이퀴,쁘레기크,브레으크,드레애크,브레히크,브레이트,브뢰이키,브레히프,브레키크,드레이크,부레끼크,브레끼크,브레이으,프레이크,브레이커,브레키크,브레키크,브레키크,브레히프,브레이트,드레이크,부레끼크,브레키크,브레으크,쁘레기크,브레히프,브레키크,프레이크,브레키크,드레애크,브레키크,브레키크,브레키크,브레키크,브레히프,브레이으,브레이트,부레끼크,브레키크,드레이크,브레이으,브레이트,버레이그,브레키크,브레히프,브레키크,브레이으,브레히프,브레키크,프레이크,브레이으,브레히프,버뢰이크,쁘레기크,브레이트,부레끼크,브레키크,버레이그,브레키크,브레키크,부레끼크,브레키크,브레키크,브레으크,브레히프,브레이으,브레키크,부레끼크,브레히프,브레이으,브레히크,브레키크,브레이으,브레키크,4,ㅂ
buffer,버퍼,버프,브퍼,버터,버허,더프,더퍼,배퍼,버뻐,버커,배프,퍼뻐,브허,버퍼,버패,버머,퍼커,머패,퍼머,브프,버터,더퍼,버터,버머,퍼머,버프,버터,버퍼,버프,버터,버커,버프,퍼뻐,버프,브허,버머,버프,버터,버터,버퍼,버커,버터,버퍼,버프,퍼뻐,브허,배프,버터,버터,버커,버터,버터,퍼뻐,머패,버프,버커,버커,더퍼,버터,버프,더퍼,버터,버퍼,버퍼,버터,버터,버터,버터,버터,버터,버퍼,브허,버머,버퍼,퍼뻐,퍼커,브프,버터,버퍼,머패,2,ㅂ
cache,캐시,캐씨,깨시,캐새,해스,키쉬,케시,캐띠,캐시,태티,케새,패띠,캐지,패시,커시,개시,캐디,캐세,애시,해시,키시,태시,케새,캐디,캐세,캐씨,케새,캐디,케새,캐디,캐시,캐디,캐새,케새,키쉬,케새,캐디,캐씨,케새,케새,캐디,개시,케새,케새,패띠,캐세,캐세,캐띠,캐씨,캐디,캐씨,캐디,캐세,개시,애시,키쉬,캐씨,케새,케새,케새,태시,케새,키쉬,태시,케새,캐띠,캐디,캐디,캐세,패시,케새,캐씨,키쉬,캐디,애시,패시,키쉬,개시,캐씨,애시,2,ㅋ
cached,캐슈트,케슈트,캐슈튀,캐슈트,캐듀티,커슈트,캐튜트,캐쓔트,캐쓔터,케슈크,케슈츠,캐슈터,캐슈뜨,캐슈투,애슈투,패쓔트,캐츄트,태슈트,캐슈투,캐튜트,태슈트,캐츄트,캐튜트,캐슈투,애슈투,태슈트,캐튜트,애슈투,케슈크,태슈트,캐슈투,캐슈트,태슈트,캐슈터,케슈크,캐쓔터,케슈츠,패쓔트,케슈츠,캐츄트,캐슈트,캐슈트,케슈츠,캐츄트,캐슈투,케슈츠,애슈투,캐튜트,케슈츠,캐츄트,케슈츠,패쓔트,캐슈터,캐듀티,캐슈트,캐듀티,캐츄트,캐슈투,캐츄트,캐슈터,캐슈투,태슈트,캐듀티,캐슈투,캐슈튀,캐슈트,캐쓔터,케슈츠,애슈투,캐슈터,케슈트,애슈투,케슈츠,캐튜트,태슈트,애슈투,케슈트,캐슈트,패쓔트,캐슈트,3,ㅋ
cam,캠,캔,갬,캠,캘,켐,햄,캪,킴,컴,탬,캡,탬,킴,킴,킴,켐,킴,킴,햄,켐,캡,킴,킴,탬,켐,컴,켐,캡,햄,햄,갬,켐,햄,햄,캡,햄,햄,캡,캡,킴,킴,켐,켐,캘,햄,킴,햄,갬,켐,켐,햄,켐,캡,킴,켐,캠,켐,캘,햄,햄,캡,킴,캪,캠,캠,햄,킴,켐,캠,켐,켐,캘,캘,햄,캡,캡,햄,켐,갬,1,ㅋ
case,케이스,코이스,케키스,케이스,케히뜨,케이쓰,케이즈,게이스,케에서,케기쓰,케이쯔,케끼스,케우스,케히스,케이드,케이트,케으스,케이쉬,케위드,쾨이스,케끼스,케우스,케우스,케우스,케으스,케에서,케기쓰,쾨이스,게이스,케우스,쾨이스,케우스,케이스,케으스,케에서,케이즈,케기쓰,케키스,케우스,케끼스,케으스,케끼스,케히뜨,케히뜨,케이트,케히뜨,케으스,케에서,케우스,케으스,케끼스,케히뜨,케으스,케에서,케이스,케끼스,케이트,케이트,쾨이스,케이스,케우스,케에서,케이쯔,케으스,케이즈,쾨이스,케이즈,케에서,쾨이스,케이스,케기쓰,케이스,케이즈,케키스,케히뜨,케이즈,쾨이스,케끼스,케이즈,케에서,3,ㅋ
code,코드,꼬두,코두,코느,코쓰,쾨드,케더,케브,고드,코스,코르,코뒤,코드,케두,토드,토트,포뒤,코트,코더,꼬드,꼬두,꼬두,코쓰,케브,케브,코쓰,꼬두,쾨드,케두,케브,고드,코트,코르,꼬두,코쓰,코뒤,토트,케브,코르,케브,코드,꼬두,케브,코르,코쓰,코느,코르,코드,케브,코르,케브,케두,꼬두,코뒤,토트,케브,꼬두,고드,케브,코느,코두,케브,케브,코르,코드,꼬두,포뒤,꼬두,코트,코더,케브,코르,코르,코르,코두,케브,코뒤,코뒤,코두,코트,2,ㅋ
